telefone,nome
5521999123456,João Silva
5521999234567,Maria Santos
5521999345678,Pedro Oliveira
5521999456789,Ana Costa
5521999567890,Carlos Souza
5521999678901,Juliana Lima
5521999789012,Rafael Pereira
5521999890123,Fernanda Alves
5521999901234,Lucas Martins
5521988111111,Mariana Ribeiro
5521988222222,Bruno Carvalho
5521988333333,Camila Fernandes
5521988444444,Rodrigo Gomes
5521988555555,Amanda Rodrigues
5521988666666,Leonardo Nascimento
5521988777777,Gabriela Araújo
5521988888888,Diego Castro
5521988999999,Letícia Mendes
5521977111111,Vinícius Barbosa
5521977222222,Bruna Ferreira
5521977333333,Marcos Rocha
5521977444444,Patrícia Cunha
5521977555555,André Cardoso
5521977666666,Débora Lopes
5521977777777,Felipe Monteiro
5521977888888,Larissa Correia
5521977999999,Gustavo Nogueira
5521966111111,Renata Teixeira
5521966222222,Thiago Cavalcanti
5521966333333,Vanessa Dias
5521966444444,Ricardo Moreira
5521966555555,Isabela Pinto
5521966666666,Matheus Freitas
5521966777777,Natália Azevedo
5521966888888,Paulo Machado
5521966999999,Karolina Vasconcelos
5521955111111,Fábio Batista
5521955222222,Cláudia Moraes
5521955333333,Eduardo Andrade
5521955444444,Luciana Reis
5521955555555,Rodrigo Nunes
5521955666666,Adriana Farias
5521955777777,Douglas Soares
5521955888888,Michele Leal
5521955999999,Sergio Campos
5521944111111,Cristina Barbosa
5521944222222,Roberto Figueiredo
5521944333333,Bianca Cardoso
